canonical name,other-names,place-type
Coimbatore,"kovai,Kongunadu,Koyampuththoor,coimbatore",district
Thrissur,"thrissivaperur, thrissur",district
Kochi,"cochin, kochi",city
India,"bharat, india, hindustan",country
Kerala,"keralam, kerala",state
America,"america, USA, ",country
Bangalore,"bengaluru, Bangalore",district
Kolkata,"Kolkata, Calcutta",district
Trivandrum,"Trivandrum, Thiruvananthapuram, ",district
Mumbai,"Mumbai, Bombay",district
Chennai,"Chennai, Madras",district
Palakkad,"Palakkad, palghat",district
Maharashtra,"Maharashtra",state
Ahmedabad,"Ahmedabad,Karnavati,Amdavad",city
newzealand,"newzealand",country
South Africa,"South Africa",country
Nagarcoil,"Nagarcoil,nagarkoil",city
Tamil Nadu,"TamilNadu,Tamil Nadu",State
North Korea,"North Korea",country
Jordan,"Jordan",country